[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,02/26/2024
ScenarioTime,3:15 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,3,9657,10170,0,,,,,,
2,3,11150,11490,0,,,,,,
3,3,12368,12338,0,,,,,,
4,0,13591,11397,0,,,,,,
5,3,10855,12224,0,,,,,,
6,1,14087,10821,0,,,,,,
7,2,10581,11059,0,,,,,,
8,1,10349,10118,0,,,,,,
Distance,7,,,,,1453,,,714
Speed,7,,,,,30,,,30
Time,7,,,,,33.0,,,16.2
Grade,7,,,,,0,,,0
Median,7,,,,,0,,,0
Offset,7,,,,,0,,,0
TWLTL,7,,,,,0,,,0
Crosswalk Width,7,,,,,16,,,16
Mandatory Distance,7,,,,,100,,,100
Mandatory Distance2,7,,,,,1320,,,1320
Positioning Distance,7,,,,,880,,,880
Positioning Distance2,7,,,,,1760,,,1760
Curve Pt X,7,,,,,10341,,,
Curve Pt Y,7,,,,,10729,,,
Curve Pt Z,7,,,,,0,,,
Link Is Hidden,7,,,,,false,,,false
Street Name Is Hidden,7,,,,,false,,,false
Up ID,8,,,1,,,,,
Lanes,8,,,1,,,,,
Name,8,,,South Street,,,,,
Distance,8,,,694,,,,,
Speed,8,,,30,,,,,
Time,8,,,15.8,,,,,
Grade,8,,,0,,,,,
Median,8,,,0,,,,,
Offset,8,,,0,,,,,
TWLTL,8,,,0,,,,,
Crosswalk Width,8,,,16,,,,,
Mandatory Distance,8,,,200,,,,,
Mandatory Distance2,8,,,1320,,,,,
Positioning Distance,8,,,880,,,,,
Positioning Distance2,8,,,1760,,,,,
Curve Pt X,8,,,,,,,,
Curve Pt Y,8,,,,,,,,
Curve Pt Z,8,,,,,,,,
Link Is Hidden,8,,,false,,,,,
Street Name Is Hidden,8,,,false,,,,,
Up ID,9,5,,,,,,,
Lanes,9,1,,,,,,,
Name,9,Scobie Drive,,,,,,,
Distance,9,753,,,,,,,
Speed,9,30,,,,,,,
Time,9,17.1,,,,,,,
Grade,9,0,,,,,,,
Median,9,0,,,,,,,
Offset,9,0,,,,,,,
TWLTL,9,0,,,,,,,
Crosswalk Width,9,16,,,,,,,
Mandatory Distance,9,200,,,,,,,
Mandatory Distance2,9,1320,,,,,,,
Positioning Distance,9,880,,,,,,,
Positioning Distance2,9,1760,,,,,,,
Curve Pt X,9,11009,,,,,,,
Curve Pt Y,9,12689,,,,,,,
Curve Pt Z,9,0,,,,,,,
Link Is Hidden,9,false,,,,,,,
Street Name Is Hidden,9,false,,,,,,,
Up ID,10,3,,,,,,,
Lanes,10,1,,,,,,,
Name,10,Gidney Avenue,,,,,,,
Distance,10,733,,,,,,,
Speed,10,30,,,,,,,
Time,10,16.7,,,,,,,
Grade,10,0,,,,,,,
Median,10,0,,,,,,,
Offset,10,0,,,,,,,
TWLTL,10,0,,,,,,,
Crosswalk Width,10,16,,,,,,,
Mandatory Distance,10,200,,,,,,,
Mandatory Distance2,10,1320,,,,,,,
Positioning Distance,10,880,,,,,,,
Positioning Distance2,10,1760,,,,,,,
Curve Pt X,10,,,,,,,,
Curve Pt Y,10,,,,,,,,
Curve Pt Z,10,,,,,,,,
Link Is Hidden,10,false,,,,,,,
Street Name Is Hidden,10,false,,,,,,,
Up ID,11,,,,5,,,,
Lanes,11,,,,1,,,,
Name,11,,,,Site Access,,,,
Distance,11,,,,855,,,,
Speed,11,,,,30,,,,
Time,11,,,,19.4,,,,
Grade,11,,,,0,,,,
Median,11,,,,0,,,,
Offset,11,,,,0,,,,
TWLTL,11,,,,0,,,,
Crosswalk Width,11,,,,16,,,,
Mandatory Distance,11,,,,200,,,,
Mandatory Distance2,11,,,,1320,,,,
Positioning Distance,11,,,,880,,,,
Positioning Distance2,11,,,,1760,,,,
Curve Pt X,11,,,,,,,,
Curve Pt Y,11,,,,,,,,
Curve Pt Z,11,,,,,,,,
Link Is Hidden,11,,,,false,,,,
Street Name Is Hidden,11,,,,false,,,,
Up ID,12,,,,1,,,,
Lanes,12,,,,1,,,,
Name,12,,,,South Street,,,,
Distance,12,,,,722,,,,
